date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2011-05-27,99.546,113.40599999999999,99.88600000000001,100.4,100.84,101.172,9.484,1078.071,726.542,5.046,34.0959609032258,31.964013967741934,2.9133120000000003,54.34905392441936,46.078715479580644,43.03792780880645,89.1166432883871
2011-06-03,100.92249999999999,115.68,100.9025,101.4825,101.9625,102.38,8.566,1073.439,726.542,5.055,34.221106999999996,31.961257066666665,2.7870524666666667,54.403431895266664,46.331007158999995,43.07665713906666,89.40766429806666
2011-06-10,100.054,117.726,100.01200000000001,100.576,101.08599999999998,101.536,8.603,1070.033,726.542,5.055,34.286483499999996,31.9816413,2.7404516,54.4490123892,46.280408506,43.0499147278,89.3303232338
2011-06-17,95.874,116.78799999999998,95.888,96.34400000000001,96.798,97.204,9.114,1068.311,726.531,5.078,34.35186,32.00202553333333,2.6938507333333335,54.494592883133336,46.229809853,43.02317231653333,89.25298216953334
2011-06-24,92.696,110.176,92.85,93.394,93.858,94.30999999999999,8.843,1063.936,726.531,5.078,34.4172365,32.02240976666667,2.647249866666667,54.540173377066665,46.179211200000005,42.996429905266666,89.17564110526666
2011-07-01,93.702,109.032,93.726,94.28399999999999,94.822,95.364,9.819,1063.063,726.531,5.011,34.482613,32.042794,2.600649,54.585753871,46.128612547,42.969687494,89.098300041
2011-07-08,97.1225,115.38999999999999,97.1025,97.58749999999999,98.05499999999999,98.54499999999999,8.965,1059.939,726.531,5.074,34.50291458064516,32.027818741935484,2.566711870967742,54.678947952129036,46.473264368161296,43.043065829709676,89.51633019787097
2011-07-15,96.72,117.72199999999998,96.712,97.13399999999999,97.564,98.05199999999999,9.308,1056.212,726.531,5.074,34.52321616129032,32.01284348387097,2.532774741935484,54.77214203325806,46.81791618932258,43.11644416541935,89.93436035474193
2011-07-22,98.006,118.19800000000001,98.114,98.434,98.82,99.24199999999999,9.805,1056.24,724.263,5.074,34.54351774193548,31.997868225806453,2.498837612903226,54.8653361143871,47.162568010483874,43.18982250112903,90.3523905116129
2011-07-29,97.828,117.69800000000001,97.86600000000001,98.29,98.758,99.216,9.099,1052.688,719.761,5.074,34.56381932258064,31.982892967741936,2.464900483870968,54.958530195516126,47.507219831645166,43.263200836838706,90.77042066848387
2011-08-05,90.854,112.654,90.824,91.24000000000001,91.70200000000001,92.16799999999999,9.065,1045.073,717.267,5.052,34.57923858064516,32.01096570967742,2.4762113548387097,54.89850778270967,47.561943735,43.27623385990322,90.83817759490321
2011-08-12,82.862,105.304,82.92,83.27000000000001,83.706,84.142,9.25,1043.392,711.353,5.075,34.59099609677419,32.0713244516129,2.5214582258064517,54.72357299945161,47.3992217,43.24400789848387,90.64322959848387
2011-08-19,85.364,109.53600000000002,85.35,85.52799999999999,85.85999999999999,86.238,8.773,1036.377,706.551,5.075,34.60275361290322,32.13168319354838,2.566705096774194,54.548638216193545,47.236499665,43.211781937064515,90.44828160206451
2011-08-26,85.056,111.05799999999999,85.078,85.40599999999999,85.764,86.16,9.572,1036.932,701.825,5.075,34.61451112903226,32.19204193548387,2.6119519677419354,54.37370343293548,47.07377763,43.17955597564516,90.25333360564517
2011-09-02,88.072,116.105,88.072,88.38,88.738,89.05999999999999,8.53,1028.085,696.939,5.075,34.6154162,32.2412665,2.6590575666666667,54.24744488426666,46.9098420753,43.1463996107,90.05624168599999
2011-09-09,87.905,115.97,87.91250000000001,88.125,88.4325,88.705,8.507,1020.381,695.939,4.506,34.5512066,32.223686,2.7173155333333336,54.41324374313333,46.7386254024,43.107660824599996,89.846286227
2011-09-16,88.93399999999998,114.97999999999999,88.93399999999998,89.07400000000001,89.252,89.45599999999999,8.315,1013.045,695.939,5.171,34.486997,32.2061055,2.7755735,54.579042602,46.5674087295,43.0689220385,89.636330768
2011-09-23,83.652,111.984,83.774,83.956,84.21,84.47,9.666,1014.974,695.953,5.171,34.4227874,32.188525,2.8338314666666666,54.74484146086667,46.3961920566,43.0301832524,89.42637530900001
