date,Cana Woodford,DJ-Niobrara,Eagle Ford,Permian,Williston,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8
2020-02-21,19.0,19.0,67.0,409.0,53.0,679.0,56.854,60.75,52.913999999999994,58.614,52.91,53.096,53.30400000000001,53.428000000000004,3.1882500000000147,2.56,1078.302,634.967,12.47499999999999,12.5,33.38006172413793,31.222241379310347,3.119482758620689,67.12355140872414,60.75,44.20149094841379,60.75,48.96227371941379,60.75,93.16376466782759,--,--
2020-02-14,19.0,20.0,67.0,408.0,53.0,678.0,56.69,59.24800000000001,50.832,55.328,50.83000000000001,51.068000000000005,51.338,51.556,3.3360000000000145,2.983,1077.85,634.967,12.47499999999999,12.5,33.35326862068965,31.21620689655173,3.142413793103448,67.0823086296207,59.24800000000001,45.12783623806897,59.24800000000001,49.45611987206896,59.24800000000001,94.58395611013792,+,--
2020-02-07,18.0,20.0,67.0,405.0,53.0,676.0,55.17,57.64,50.36,54.59400000000001,50.348,50.538000000000004,50.756,50.93999999999999,3.344750000000015,4.008,1077.435,634.967,12.47499999999999,12.5,33.326475517241384,31.210172413793106,3.165344827586207,67.04106585051724,57.64,46.05418152772414,57.64,49.949966024724134,57.64,96.00414755244827,+,--
2020-01-31,19.0,20.0,68.0,406.0,53.0,675.0,55.20399999999999,58.07,52.69600000000001,58.571999999999996,52.73,52.804,52.81399999999999,52.728,3.110500000000015,3.202,1069.976,634.967,12.47499999999999,12.4,33.32415516129033,31.22554838709677,3.1845806451612906,67.0208857536129,58.07,46.821007516548384,58.07,50.380846100774185,58.07,97.20185361732256,+,--
2020-01-24,21.0,19.0,67.0,405.0,53.0,676.0,53.488,56.9,56.1525,62.2,56.67999999999999,56.706,56.63399999999999,56.428000000000004,3.2265000000000157,3.1510000000000002,1066.621,634.967,12.47499999999999,12.5,33.46867129032258,31.369387096774197,3.1816451612903225,67.12708174990323,56.9,46.63071770038711,56.9,50.433929717193536,56.9,97.06464741758064,+,-
2020-01-17,21.0,19.0,66.0,403.0,53.0,673.0,53.27200000000001,56.854,58.288000000000004,64.112,58.236,58.258,58.17800000000001,57.986,2.911250000000016,3.0180000000000002,1063.073,634.967,12.44999999999999,12.5,33.613187419354844,31.51322580645161,3.178709677419355,67.23327774619354,56.854,46.44042788422582,56.854,50.4870133336129,56.854,96.9274412178387,+,+
2020-01-10,21.0,19.0,64.0,397.0,51.0,659.0,53.122,56.69,60.84,67.92999999999999,60.836000000000006,60.688,60.44600000000001,60.11600000000001,3.009750000000016,3.071,1063.478,634.967,12.42499999999999,12.5,33.757703548387106,31.657064516129033,3.1757741935483867,67.33947374248389,56.69,46.25013806806453,56.69,50.54009695003225,56.69,96.7902350180968,+,+
2020-01-03,20.0,20.0,64.0,403.0,52.0,670.0,56.896,55.17,61.622,67.994,61.60600000000001,61.35,61.008,60.571999999999996,2.978500000000016,3.6660000000000004,1066.027,634.967,12.37499999999999,12.4,33.90221967741936,31.80090322580645,3.1728387096774195,67.44566973877419,55.17,46.05984825190322,55.17,50.593180566451615,55.17,96.65302881835484,+,+
2019-12-27,21.0,20.0,64.0,405.0,52.0,677.0,59.33200000000001,55.20399999999999,61.26600000000001,68.83599999999998,61.228,61.048,60.74800000000001,60.344,2.933750000000016,1.89,1064.863,634.967,12.34999999999999,12.4,33.998993870967745,31.80796774193548,3.100064516129033,67.47606205554838,55.20399999999999,46.277330720741936,55.20399999999999,51.287041920451614,55.20399999999999,97.56437264119356,-,+
2019-12-20,23.0,20.0,64.0,414.0,51.0,685.0,56.16,53.488,60.75,68.902,60.74800000000001,60.658,60.354,59.94200000000001,3.1747500000000155,3.412,1076.326,634.967,12.34999999999999,12.4,34.07667129032258,31.76032258064516,2.9993548387096776,67.47613290051612,53.488,46.657922103580646,53.488,52.23721436948387,53.488,98.89513647306451,-,-
2019-12-13,25.0,20.0,54.0,399.0,52.0,667.0,55.59599999999999,53.27200000000001,59.24800000000001,66.498,59.25400000000001,59.15,58.861999999999995,58.48199999999999,2.9992500000000155,2.946,1081.8,634.967,12.34999999999999,12.3,34.15434870967742,31.71267741935484,2.8986451612903226,67.47620374548387,53.27200000000001,47.03851348641936,53.27200000000001,53.18738681851613,53.27200000000001,100.2259003049355,-,+
2019-12-06,25.0,21.0,54.0,399.0,52.0,663.0,55.206,53.122,57.64,64.714,57.623999999999995,57.544,57.288000000000004,56.93600000000001,2.9990000000000157,3.487,1082.886,634.9680000000001,12.34999999999999,12.3,34.232026129032256,31.665032258064517,2.797935483870968,67.47627459045161,53.122,47.419104869258064,53.122,54.13755926754838,53.122,101.55666413680643,+,+
2019-11-29,27.0,21.0,54.0,404.0,51.0,668.0,55.496,56.896,58.07,64.74000000000001,58.16,58.0825,57.8475,57.5175,2.9065000000000154,2.8539999999999996,1082.262,635.1659999999999,12.349999999999989,12.4,34.28931,31.60493333333333,2.6932666666666667,67.4916187268,56.896,47.69702611140001,56.896,54.78505713093333,56.896,102.48208324233332,+,+
2019-11-22,27.0,22.0,55.0,405.0,51.0,671.0,55.306000000000004,59.33200000000001,56.9,63.762,57.14399999999999,57.114,56.902,56.562,3.1195000000000155,2.71,1088.122,636.17,12.27499999999999,12.4,34.29561,31.5137,2.5787,67.5451460916,59.33200000000001,47.7182720018,59.33200000000001,54.675868530200006,59.33200000000001,102.39414053200001,+,+
2019-11-15,28.0,21.0,53.0,408.0,51.0,674.0,53.276,56.16,56.854,62.56399999999999,57.054,57.13199999999999,57.01200000000002,56.728,3.2845000000000155,2.945,1087.917,637.5369999999999,12.19999999999999,12.3,34.30191,31.422466666666665,2.4641333333333333,67.59867345640001,56.16,47.739517892200006,56.16,54.56667992946666,56.16,102.30619782166669,-,-
2019-11-08,29.0,22.0,53.0,412.0,52.0,684.0,56.54600000000001,55.59599999999999,56.69,62.39000000000001,56.902,56.93600000000001,56.77,56.43400000000001,3.0917500000000153,3.117,1088.51,639.509,12.14999999999999,12.3,34.308209999999995,31.33123333333333,2.3495666666666666,67.6522008212,55.59599999999999,47.7607637826,55.59599999999999,54.45749132873333,55.59599999999999,102.2182551113333,--,-
2019-11-01,28.0,22.0,55.0,416.0,53.0,691.0,56.054,55.206,55.17,60.226000000000006,55.358,55.44,55.344,55.108,3.0742500000000152,3.7060000000000004,1087.734,640.952,12.09999999999999,12.1,34.31451,31.24,2.235,67.705728186,55.206,47.782009673000005,55.206,54.348302728,55.206,102.130312401,--,-
2019-10-25,28.0,22.0,55.0,417.0,53.0,696.0,56.74800000000001,55.496,55.20399999999999,60.74800000000001,55.266000000000005,55.392,55.316,55.088,2.8535000000000155,3.37,1080.505,641.6519999999999,12.09999999999999,12.1,34.35041322580645,31.21741935483871,2.180806451612903,67.53351154993547,55.496,47.76740409667742,55.496,54.12886182370968,55.496,101.8962659203871,--,-
2019-10-18,30.0,22.0,52.0,422.0,55.0,713.0,59.023999999999994,55.306000000000004,53.488,59.321999999999996,53.49400000000001,53.576,53.574,53.44600000000001,2.867000000000015,2.174,1075.501,642.35,12.04999999999999,12.1,34.3863164516129,31.19483870967742,2.1266129032258063,67.36129491387096,55.306000000000004,47.752798520354844,55.306000000000004,53.909420919419354,55.306000000000004,101.6622194397742,--,--
2019-10-11,33.0,21.0,50.0,421.0,55.0,712.0,57.32333333333333,53.276,53.27200000000001,59.39400000000001,53.24399999999999,53.25599999999999,53.13399999999999,52.93600000000001,3.172250000000015,3.0469999999999997,1078.1989999999998,643.349,12.02499999999999,12.1,34.42221967741935,31.17225806451613,2.072419354838709,67.18907827780646,53.276,47.73819294403226,53.276,53.68998001512903,53.276,101.42817295916129,--,--
2019-10-04,36.0,21.0,50.0,415.0,55.0,710.0,58.38200000000001,56.54600000000001,53.122,59.222,53.118,53.018,52.782,52.48,3.379250000000015,2.823,1070.187,644.618,11.99999999999999,12.1,34.45812290322581,31.149677419354838,2.018225806451613,67.01686164174194,56.54600000000001,47.72358736770968,56.54600000000001,53.47053911083871,56.54600000000001,101.19412647854837,--,--
2019-09-27,37.0,22.0,56.0,414.0,53.0,713.0,54.754,56.054,56.896,63.152,56.948,56.778,56.37000000000001,55.898,3.531000000000015,3.424,1067.46,644.818,11.974999999999989,11.9,34.22804333333333,30.932,1.981666666666667,66.8868517688,56.054,47.657878858466674,56.054,53.511365804200004,56.054,101.16924466266669,--,--
2019-09-20,35.0,23.0,56.0,417.0,53.0,719.0,52.52200000000001,56.74800000000001,59.33200000000001,65.55600000000001,59.31400000000001,59.218,58.79200000000001,58.19,3.635750000000015,3.395,1064.356,644.818,11.99999999999999,12.0,33.798476666666666,30.568,1.9583333333333333,66.78849696820001,56.74800000000001,47.55384314953335,56.74800000000001,53.7473931958,56.74800000000001,101.30123634533335,-,--
2019-09-13,37.0,22.0,58.0,419.0,55.0,733.0,52.972,59.023999999999994,56.16,62.738,56.188,56.108,55.86400000000001,55.518,3.5142500000000148,3.875,1061.944,644.818,12.02499999999999,12.0,33.36891,30.204,1.935,66.6901421676,59.023999999999994,47.449807440600004,59.023999999999994,53.9834205874,59.023999999999994,101.43322802799999,--,--
2019-09-06,41.0,23.0,59.0,427.0,54.0,738.0,57.222,57.32333333333333,55.59599999999999,60.228,55.62399999999999,55.468,55.178000000000004,54.81399999999999,3.649250000000014,3.43,1060.886,644.818,12.02499999999999,12.0,32.93934333333333,29.84,1.9116666666666664,66.59178736700001,57.32333333333333,47.34577173166666,57.32333333333333,54.219447978999995,57.32333333333333,101.5652197106667,--,--
2019-08-30,44.0,23.0,58.0,429.0,51.0,742.0,60.722,58.38200000000001,55.206,59.826,55.232000000000006,55.042,54.714,54.326,4.049500000000014,3.843,1067.798,644.818,11.99999999999999,12.0,32.76044548387097,29.738709677419358,1.9530645161290323,66.52956483632259,58.38200000000001,47.36338265125806,58.38200000000001,54.35823479480645,58.38200000000001,101.72161744606451,--,--
