,n_splits,train_size,rmse_tr,r2_tr,mae_tr,rmse_tt,r2_tt,mae_tt
487,4.0,65.0,8.825613343195378,0.9841983079175192,6.939648689464061,338.57970445085977,-7.303727749438126,279.5803929259527
1345,8.0,59.0,7.923829292616405,0.9701312499618271,6.146724077432106,338.6583555928142,-10.497170199024866,306.37331500274763
25,2.0,35.0,3.27291474804807,0.9800796369321714,2.6083176531028096,341.0052025926037,-5.615351599165687,259.82345120588093
1742,10.0,24.0,2.7233227165942315,0.9758545537904968,2.136299736290017,341.212779424638,-3.569586517237647,294.0530127981891
236,3.0,30.0,3.3911543273710874,0.9920405008980978,2.7318123214853234,342.80543203859196,-20.011224902421443,267.2998789524176
243,3.0,37.0,3.926119550208508,0.9928077058171384,3.037828705857335,343.63337881242506,-6.58319430981253,280.3444049745737
244,3.0,38.0,3.8847969633107695,0.9932211846727199,2.993492860983172,344.0027411850894,-6.723142924174721,280.64166231520403
4539,23.0,13.0,7.23216322457276e-14,1.0,5.2756015832355255e-14,344.06999457893517,-2.8152500651670795,290.5609696028172
31,2.0,41.0,5.6163891108189015,0.9679782106929444,4.469007935532128,345.3863734400268,-5.3491068447596675,252.54544858831323
246,3.0,40.0,4.0939419632816065,0.9930506015172146,3.2118923448511354,347.24194628108677,-5.708832087467321,282.749763167096
26,2.0,36.0,3.7420341568956488,0.9768354746305201,3.0765978783909103,348.0924036596241,-3.8373238485725465,251.87573320224627
1946,11.0,12.0,5.926885047204231e-14,1.0,3.7034348651738554e-14,350.0926505580927,-3.287163958979748,292.7895232827256
23,2.0,33.0,2.7359055231165357,0.9818742296013626,2.2029264263995665,351.23338043430954,-6.187618584540127,269.8868012032016
36,2.0,46.0,7.22649958642803,0.958830699713244,5.700301859570642,352.9132106020762,-6.176353401865263,269.3157356706439
28,2.0,38.0,4.015487137954592,0.974950442161878,3.244654555480248,354.7767746456713,-5.150590471353485,261.8315802007273
4323,22.0,13.0,7.312655233376507e-14,1.0,5.276897799840744e-14,357.6262102252612,-2.9610246630762846,302.0760911816886
29,2.0,39.0,4.281748388725443,0.9743497078919814,3.5358052687847428,358.67264800046877,-6.772014861077892,268.11916360207977
35,2.0,45.0,7.252433752515631,0.9582561509805734,5.712168351479208,363.23150905941054,-6.281444591030464,277.3790815225167
1314,8.0,28.0,2.951756240358619,0.9837885901654044,2.330695020483189,368.14540293932055,-3.6941720799310747,329.08419370033477
2811,15.0,13.0,9.260131963845575e-14,1.0,7.098139739798335e-14,369.5271454067753,-6.9788339446377705,310.2247959336707
27,2.0,37.0,3.84127420489229,0.9762784850690179,3.1420564262947637,371.7082841468691,-3.8648324419667595,270.1206696271488
1741,10.0,23.0,2.4724479058137705,0.9861256566144171,1.9351376566343415,374.44698792360634,-5.447748626877796,318.3414948745031
663,5.0,25.0,2.7087260126215766,0.987727209751277,2.171424894259327,375.7453543702209,-1.278018515967436,299.8943808034831
242,3.0,36.0,3.952381077359204,0.992285129865361,3.094353559136079,380.6629336817138,-7.246870366312791,311.5073861955371
34,2.0,44.0,6.973155317646841,0.9587972695708341,5.404327203916099,381.0700032031531,-6.343382739922529,290.6646008334264
237,3.0,31.0,3.71222523547994,0.9901610493908706,2.9543018386654123,390.10422879916786,-8.904224566588667,315.05845270964943
240,3.0,34.0,3.7246736099857976,0.991347404527522,2.9679922512988886,392.0160992316458,-8.683511369615104,320.4287876742669
233,3.0,27.0,2.9193436371936414,0.9905386739375466,2.291541241233902,393.7744204176197,-25.702362828612284,325.60148407950504
230,3.0,24.0,2.354472609300022,0.9897777371032239,1.814548757286218,396.98815842511755,-0.9252635685748541,328.751273033806
218,3.0,12.0,5.773788272693134e-14,1.0,4.421154800285067e-14,400.45373385602494,-3.698770953448045,320.02130632910894
1320,8.0,34.0,3.6456337916904222,0.9848915604254442,2.8541766039256133,401.90409210490293,-6.3075574133879115,373.22772192747397
3243,17.0,13.0,6.041640301412611e-14,1.0,4.1796631515300014e-14,402.7177523907645,-2.8087454735619333,319.4200268162599
1527,9.0,25.0,2.955605534389429,0.9844943253513053,2.3631226254511564,408.30532485310255,-3.682441274735238,313.2538057579444
239,3.0,33.0,3.7567859510231654,0.9905588622927995,3.028795574733973,408.52821489656327,-12.307035203089319,330.9623715492096
881,6.0,27.0,3.0678976455382405,0.9831106236925464,2.376545796618544,417.92747536540423,-8.39587455034938,370.04899912989725
32,2.0,42.0,6.431281515879726,0.964959414556894,4.884438735556901,419.23385607431624,-4.838053483629507,308.9957742087887
662,5.0,24.0,2.6638116914543453,0.9879900081416999,2.1157754360073393,422.8390667106328,-1.299659012602192,329.06546887256536
238,3.0,32.0,3.7053668396207793,0.9908302706300747,2.9755948290536813,432.0524659575785,-5.644101215341574,353.5508527572446
217,3.0,11.0,8.545361856035e-14,1.0,7.579122514774402e-14,432.5212619136476,-3.930109052220967,345.83717064558726
33,2.0,43.0,6.819247859870055,0.962546410289138,5.250688805872214,432.6121500386859,-5.106737314566907,321.50063151950076
241,3.0,35.0,3.7651326084887295,0.9919022223775604,3.0531726505218173,438.6490867058951,-8.279012290614503,361.0437009493093
216,3.0,10.0,4.472357164933638e-14,1.0,2.6526928801710404e-14,446.0479407593663,-4.840848026574101,373.85941846265627
1313,8.0,27.0,2.702301381847602,0.9854810610720068,2.089131254298397,447.1218996383453,-5.240350206592412,408.37915114584194
447,4.0,25.0,2.456067095752923,0.9850957195343385,1.995173298220743,453.7752599615653,-1.4382043436834768,403.775327826164
1312,8.0,26.0,2.6812349494357273,0.9817072629133566,2.0714936783788835,459.1204624847068,-5.032712963233032,417.1188851171909
1311,8.0,25.0,2.601124739674512,0.9757868697077943,2.0161301194458723,476.020619637251,-4.575553202031015,424.95382163458544
1525,9.0,23.0,2.82989259221936,0.9837629768977967,2.283011402307222,486.6813120006314,-2.460774620900607,380.32701111385484
1526,9.0,24.0,2.825606329255452,0.9838876339567673,2.2435963106218377,500.40346703666796,-2.865952128026225,386.98182815754575
661,5.0,23.0,2.673318810749946,0.9877367237425068,2.135325269442368,521.8824064126892,-0.6360884802972931,403.3064396658211
1947,11.0,13.0,8.752659585123111e-14,1.0,6.399853452160902e-14,526.7436679097299,-2.2647698771201177,429.25440411651374
877,6.0,23.0,2.47389843938011,0.9851753489997915,1.9392874328703182,534.943269282513,-3.1525814928064384,487.2557241842015
2594,14.0,12.0,5.492092287072873e-14,1.0,3.806478941571965e-14,537.0313141604136,-1.6660480668063926,433.5595558380532
