date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2010-11-09,87.04,87.93,86.72,87.35,87.85,88.32,7.926857142857142,1066.2355714285713,726.55,4.985571428571428,34.446352133333335,29.431355933333332,33.308083466666666,3.8767275333333333,54.872844317533335,47.85116487653333,43.0587074706,90.90987234713333
2010-11-10,87.77,87.92,87.81,88.29,88.68,89.05,7.894571428571428,1065.1947142857143,726.55,4.985714285714286,34.4474989,29.4325358,33.312593899999996,3.8800581000000003,54.8670213036,47.8816605961,43.0803248548,90.96198545089999
2010-11-11,87.77,88.08,87.81,88.28,88.69,89.07,7.862285714285714,1064.153857142857,726.55,4.985857142857142,34.44864566666667,29.433715666666668,33.31710433333333,3.883388666666667,54.86119828966667,47.912156315666664,43.101942239,91.01409855466667
2010-11-12,84.89,86.07,84.88,85.34,85.8,86.22,7.83,1063.113,726.55,4.986,34.449792433333336,29.434895533333332,33.32161476666667,3.8867192333333334,54.85537527573334,47.94265203523333,43.1235596232,91.06621165843333
2010-11-13,84.88666666666667,,,,,,7.9957142857142856,1063.2598571428573,726.5498571428571,4.986,34.4509392,29.4360754,33.3261252,3.8900498000000003,54.8495522618,47.973147754799996,43.1451770074,91.11832476219999
2010-11-14,84.88333333333333,,,,,,8.161428571428571,1063.4067142857143,726.5497142857142,4.986,34.452085966666665,29.437255266666668,33.33063563333333,3.893380366666667,54.84372924786667,48.00364347436666,43.1667943916,91.17043786596666
2010-11-15,84.88,85.49,84.86,85.29,85.84,86.31,8.327142857142857,1063.5535714285716,726.5495714285714,4.986,34.45323273333334,29.438435133333332,33.33514606666667,3.8967109333333334,54.83790623393333,48.03413919393333,43.1884117758,91.22255096973333
2010-11-16,82.33,83.98,82.34,82.84,83.44,83.96,8.492857142857144,1063.7004285714286,726.5494285714285,4.986,34.4543795,29.439615,33.339656500000004,3.9000415000000004,54.83208322,48.0646349135,43.210029160000005,91.2746640735
2010-11-17,80.43,83.36,80.44,81.04,81.71,82.29,8.65857142857143,1063.8472857142858,726.5492857142857,4.986,34.455526266666666,29.440794866666668,33.344166933333334,3.903372066666667,54.82626020606667,48.09513063306667,43.231646544200004,91.32677717726668
2010-11-18,81.88,83.7,81.85,82.42,83.08,83.64,8.824285714285715,1063.9941428571428,726.5491428571428,4.986,34.45667303333334,29.441974733333332,33.348677366666664,3.9067026333333335,54.82043719213333,48.12562635263333,43.2532639284,91.37889028103334
2010-11-19,81.65,83.17,81.51,81.98,82.58,83.07,8.99,1064.141,726.549,4.986,34.4578198,29.4431546,33.3531878,3.9100332,54.8146141782,48.1561220722,43.2748813126,91.4310033848
2010-11-20,81.51333333333334,,,,,,8.907428571428571,1064.2931428571428,726.5488571428572,4.981714285714285,34.45896656666667,29.444334466666668,33.35769823333334,3.913363766666667,54.808791164266665,48.186617791766665,43.2964986968,91.48311648856667
2010-11-21,81.37666666666667,,,,,,8.824857142857143,1064.4452857142858,726.5487142857143,4.977428571428572,34.46011333333333,29.445514333333332,33.36220866666667,3.9166943333333335,54.802968150333335,48.21711351133333,43.318116081,91.53522959233334
2010-11-22,81.24,82.34,81.74,82.33,82.83,83.19,8.742285714285714,1064.5974285714285,726.5485714285714,4.973142857142857,34.461260100000004,29.4466942,33.3667191,3.9200249,54.797145136400005,48.2476092309,43.3397334652,91.5873426961
2010-11-23,80.79,82.37,81.25,81.83,82.35,82.74,8.659714285714287,1064.7495714285715,726.5484285714285,4.968857142857143,34.46240686666667,29.447874066666667,33.371229533333334,3.923355466666667,54.79132212246667,48.27810495046666,43.361350849400004,91.63945579986667
2010-11-24,83.21,84.53,83.86,84.43,84.94,85.32,8.577142857142858,1064.9017142857142,726.5482857142857,4.964571428571428,34.46355363333333,29.44905393333333,33.37573996666667,3.9266860333333335,54.78549910853334,48.30860067003333,43.3829682336,91.69156890363334
2010-11-25,83.53999999999999,,,,,,8.49457142857143,1065.0538571428572,726.5481428571428,4.960285714285715,34.4647004,29.4502338,33.3802504,3.9300166,54.7796760946,48.339096389599995,43.4045856178,91.7436820074
2010-11-26,83.87,84.78,83.76,84.35,84.87,85.22,8.412,1065.206,726.548,4.956,34.46584716666667,29.451413666666667,33.38476083333333,3.9333471666666666,54.77385308066667,48.36959210916666,43.426203002,91.79579511116665
