date,Total US RigCount,wti_spot_lag_14__benford_correlation,oecd_cons_smooth__benford_correlation,wti_fut_4__benford_correlation,wti_spot__benford_correlation,usa_net_import__benford_correlation,opec_surp_capac__range_count__max_1__min_-1,usa_l48_prod__abs_energy,brent_spot__benford_correlation,opec_surp_capac__abs_energy,wti_spot_lag_14,brent_spot,usa_net_import,usa_l48_prod,opec_surp_capac
2019-08-16,770.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,144.0,-0.14527956152245,5.567316363163373,61.81399999999999,58.251999999999995,4.415,12.0,2.3595161290322584
2019-08-09,764.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,141.61,-0.14527956152245,6.567646227887616,62.9,57.328,5.0310000000000015,11.9,2.5627419354838707
2019-08-02,770.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,139.24,-0.20094583070946112,7.65057754942768,65.27600000000001,62.58600000000001,5.283,11.8,2.765967741935484
2019-07-26,776.0,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,139.24,-0.20094583070946112,8.029910535900099,63.8,62.8,4.089,11.8,2.8337096774193538
2019-07-19,779.0,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,-0.14527956152245,0.06291512241389041,0.0,116.64000000000001,-0.20094583070946112,8.287898048907389,64.102,63.62800000000001,3.736,10.8,2.8788709677419355
2019-07-12,784.0,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,132.25,-0.20094583070946112,8.549964646201875,62.36,65.97800000000001,4.298,11.5,2.9240322580645164
2019-07-05,788.0,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,141.61,-0.20094583070946112,8.816110327783557,59.49,63.84,4.254,11.9,2.9691935483870964
2019-06-28,793.0,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,139.24,-0.20094583070946112,8.779369,59.43600000000001,66.50999999999999,4.595,11.8,2.963
2019-06-21,789.0,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.14527956152245,0.29565697763773563,0.0,134.56,-0.20094583070946112,8.342469444444443,57.81,64.038,2.886,11.6,2.888333333333333
2019-06-14,788.0,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,136.89,-0.20094583070946112,7.916720111111112,56.348,63.188,4.045,11.7,2.8136666666666668
2019-06-07,789.0,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,139.24,-0.20094583070946112,7.502120999999999,56.122,63.146,4.489,11.8,2.739
2019-05-31,800.0,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,141.61,-0.20094583070946112,7.174621462018729,56.512,69.02799999999999,4.629,11.9,2.678548387096774
2019-05-24,797.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,0.06291512241389041,0.0,139.24,-0.24168999331500296,7.308301795005201,53.878,70.888,3.545,11.8,2.7033870967741933
2019-05-17,802.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,136.89,-0.24168999331500296,7.4432160509885525,53.526,73.322,4.021,11.7,2.7282258064516127
2019-05-10,805.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,134.56,-0.24168999331500296,7.579364229968782,53.63399999999999,71.252,4.265,11.6,2.753064516129032
2019-05-03,807.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,136.89,-0.24168999331500296,7.716746331945889,52.66600000000001,71.586,4.371,11.7,2.7779032258064515
2019-04-26,805.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,139.24,-0.24168999331500296,7.756225000000001,51.924,72.93199999999999,4.803,11.8,2.785
2019-04-19,825.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,136.89,-0.24168999331500296,7.756225000000001,50.78,70.87249999999997,4.468,11.7,2.785
2019-04-12,833.0,-0.06461440727816897,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,0.06291512241389041,0.0,134.56,-0.24168999331500296,7.756225000000001,46.99666666666667,71.328,3.591,11.6,2.785
2019-04-05,831.0,-0.06461440727816897,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,0.0,136.89,-0.20094583070946112,7.756225000000001,45.22333333333333,69.53999999999999,4.25,11.7,2.785
2019-03-29,816.0,-0.06461440727816897,-0.14527956152245,-0.20094583070946112,-0.14527956152245,-0.06461440727816897,0.0,136.89,-0.20094583070946112,7.729296800208117,46.98,67.248,4.04,11.7,2.7801612903225807
2019-03-22,824.0,-0.14527956152245,-0.14527956152245,-0.20094583070946112,-0.14527956152245,0.06291512241389041,0.0,134.56,-0.20094583070946112,7.6666464360041635,51.542,67.34400000000001,3.654,11.6,2.7688709677419356
2019-03-15,833.0,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.06291512241389041,0.0,134.56,-0.20094583070946112,7.60425101456816,52.62600000000001,65.714,3.54,11.6,2.7575806451612905
2019-03-08,834.0,-0.14527956152245,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,132.25,-0.20094583070946112,7.542110535900103,51.014,64.734,4.2,11.5,2.746290322580645
2019-03-01,843.0,-0.14527956152245,-0.06461440727816897,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,134.56,-0.20094583070946112,7.480224999999999,54.98666666666666,64.564,4.198,11.6,2.735
2019-02-22,853.0,-0.14527956152245,-0.06461440727816897,-0.14527956152245,-0.14527956152245,0.29565697763773563,0.0,134.56,-0.20094583070946112,6.864400000000001,56.916,66.582,2.5580000000000003,11.6,2.62
2019-02-15,857.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.06291512241389041,0.0,132.25,-0.20094583070946112,6.275024999999999,61.574,63.36,3.915,11.5,2.505
2019-02-08,854.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.06291512241389041,0.0,129.96,-0.20094583070946112,5.7121,65.05600000000001,61.706,3.846,11.4,2.39
2019-02-01,847.0,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,129.96,-0.20094583070946112,5.175624999999999,67.426,61.38,4.276,11.4,2.275
2019-01-25,862.0,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,129.96,-0.20094583070946112,5.155097008324658,70.23799999999999,61.342,5.1389999999999985,11.4,2.270483870967741
2019-01-18,852.0,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.14527956152245,-0.20094583070946112,0.0,129.96,-0.14527956152245,5.134609807492196,72.95599999999997,59.83,6.1560000000000015,11.4,2.265967741935484
2019-01-11,873.0,-0.24168999331500296,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,129.96,-0.14527956152245,5.1141633975026,75.126,58.636,4.561,11.4,2.2614516129032256
2019-01-04,877.0,-0.24168999331500296,-0.20094583070946112,-0.06461440727816897,-0.06461440727816897,-0.14527956152245,0.0,125.43999999999998,-0.14527956152245,5.093757778355881,72.83800000000002,54.31,5.7810000000000015,11.2,2.256935483870968
2018-12-28,885.0,-0.24168999331500296,-0.20094583070946112,-0.06461440727816897,-0.06461440727816897,-0.14527956152245,0.0,125.43999999999998,-0.14527956152245,4.558224999999999,70.27600000000001,51.03,5.155,11.2,2.135
2018-12-21,883.0,-0.20094583070946112,-0.24168999331500296,-0.06461440727816897,-0.06461440727816897,-0.06461440727816897,0.0,125.43999999999998,-0.14527956152245,3.7056250000000004,68.958,54.64399999999999,4.687,11.2,1.925
2018-12-14,873.0,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,123.21,-0.14527956152245,2.941225,68.5125,59.50999999999999,5.098,11.1,1.715
2018-12-07,877.0,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,123.21,-0.20094583070946112,2.2650249999999996,69.65599999999999,60.466,5.119,11.1,1.505
2018-11-30,887.0,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.06461440727816897,0.0,125.43999999999998,-0.14527956152245,1.707813361111111,68.10199999999999,58.65,4.016,11.2,1.3068333333333333
2018-11-23,885.0,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,125.43999999999998,-0.20094583070946112,1.3916134444444443,66.146,61.218,5.72,11.2,1.1796666666666666
2018-11-16,888.0,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,-0.14527956152245,-0.14527956152245,0.0,125.43999999999998,-0.20094583070946112,1.10775625,67.90400000000001,66.208,5.585,11.2,1.0525
2018-11-09,886.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,1.0,125.43999999999998,-0.24168999331500296,0.8562417777777775,69.462,70.344,5.402,11.2,0.9253333333333332
2018-11-02,874.0,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,1.0,123.21,-0.24168999331500296,0.6370700277777778,70.00999999999999,74.08800000000002,5.134,11.1,0.7981666666666667
2018-10-26,875.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.06461440727816897,1.0,114.48999999999998,-0.24168999331500296,0.7170265348595214,68.952,78.232,4.859,10.7,0.8467741935483871
2018-10-19,873.0,-0.24168999331500296,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.14527956152245,1.0,108.16000000000001,-0.2728090912145095,0.8550283298647244,71.96400000000001,80.40599999999998,5.497999999999998,10.4,0.9246774193548388
2018-10-12,869.0,-0.24168999331500296,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.14527956152245,0.0,108.16000000000001,-0.2728090912145095,1.0051679500520294,73.72749999999998,83.05199999999998,5.832999999999998,10.4,1.0025806451612904
2018-10-05,861.0,-0.24168999331500296,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.06461440727816897,0.0,114.48999999999998,-0.2728090912145095,1.167445395421436,74.02600000000002,85.44200000000002,4.8210000000000015,10.7,1.080483870967742
2018-09-28,863.0,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.24168999331500296,-0.20094583070946112,0.0,112.36,-0.2728090912145095,1.3144622500000003,66.324,81.846,6.242000000000001,10.6,1.1465
