date,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8,rig_pct_change_week+4,rig_pct_change_week+8
2020-05-08,292.0,52.69600000000001,45.574,23.464000000000002,23.5725,23.445999999999998,25.178,26.86,28.17,2.0197500000000144,1.866,1171.242,639.766,11.499999999999993,11.2,28.517498464064523,31.625538,7.7813444516129024,60.01950837296774,45.574,37.76075683203226,45.574,47.79205030170968,45.574,85.55280713374194,--,--,-0.2945205479452055,-0.3664383561643836
2020-05-01,325.0,56.1525,48.362,15.712,17.046,15.76,19.788,22.67,24.834,2.1142500000000144,2.166,1170.054,637.8330000000002,11.649999999999993,11.5,28.91251,31.655834,7.3758339999999984,59.630320968,48.362,37.04728421,48.362,47.145245273,48.362,84.192529483,--,--,-0.3169230769230769,-0.4215384615384615
2020-04-24,378.0,58.288,52.914,3.3240000000000007,14.236,3.919999999999999,19.07,23.342,25.498,2.3330000000000144,2.0,1163.748,636.117,11.749999999999993,11.6,30.45927666666667,31.6661394,5.9756394,60.8288422311,52.914,36.567047456033336,52.914,46.84382828696667,52.914,83.410875743,--,--,-0.37301587301587297,-0.5
2020-04-17,438.0,60.84,50.832,20.12,20.042,20.106,26.651999999999997,30.752,32.36999999999999,2.5560000000000143,2.047,1153.607,634.967,11.97499999999999,11.7,32.00604333333334,31.6764448,4.5754448,62.0273634942,50.832,36.08681070206667,50.832,46.54241130093333,50.832,82.629222003,--,--,-0.410958904109589,-0.545662100456621
2020-04-10,504.0,61.622,50.36,24.405,22.5325,24.064,29.296,32.160000000000004,33.148,2.6110000000000144,2.244,1138.585,634.967,12.174999999999994,11.8,33.55281,31.6867502,3.1752502,63.225884757299994,50.36,35.6065739481,50.36,46.2409943149,50.36,81.847568263,--,--,-0.42063492063492064,-0.5912698412698413
2020-04-03,562.0,61.26600000000001,52.69600000000001,21.686,18.716,22.908,26.258000000000006,28.752,30.314,2.5902500000000144,3.0410000000000004,1119.337,634.967,12.374999999999993,11.9,35.09957666666667,31.6970556,1.7750556,64.4244060204,52.69600000000001,35.12633719413333,52.69600000000001,45.939577328866655,52.69600000000001,81.065914523,--,--,-0.4217081850533808,-0.604982206405694
2020-03-27,624.0,60.75,56.1525,19.438,23.962,23.19400000000001,25.940000000000005,28.174,29.620000000000005,2.5805000000000144,2.892,1104.16,634.967,12.524999999999993,12.5,35.19844548387097,31.62419354838709,1.6516129032258065,65.15550795280646,56.1525,36.28289264187097,56.1525,46.252469557096774,56.1525,82.53536219896775,--,--,-0.3942307692307692,-0.6201923076923077
2020-03-20,664.0,59.24800000000001,58.288,24.19400000000001,25.654000000000003,24.734,25.14,26.13600000000001,27.25800000000001,2.3785000000000145,2.267,1090.327,634.967,12.549999999999994,12.5,34.718155161290326,31.51806451612904,2.038870967741936,65.69964215293548,58.288,38.09416497029032,58.288,46.81108547103226,58.288,84.90525044132258,--,--,-0.3403614457831325,-0.6114457831325302
2020-03-13,683.0,57.64,60.84,32.386,33.724000000000004,32.34,32.736000000000004,33.208,33.738,2.4517500000000143,2.161,1088.704,634.967,12.549999999999994,12.6,34.237864838709676,31.41193548387097,2.426129032258064,66.24377635306453,60.84,39.90543729870968,60.84,47.36970138496775,60.84,87.27513868367744,--,--,-0.26207906295754024,-0.5724743777452416
2020-03-06,682.0,58.07,61.622,45.574,50.702,45.578,45.754,45.918000000000006,46.052,2.6572500000000145,3.002,1086.75,634.967,12.524999999999993,12.5,33.75757451612903,31.305806451612906,2.8133870967741936,66.78791055319356,61.622,41.71670962712903,61.622,47.92831729890322,61.622,89.64502692603224,--,--,-0.17595307917888564,-0.5234604105571847
